election,office,boro,dist,aded,elname,title,boron,used,cands,num,format,pubct,abs,fed,emer,aff,total,scatter,unrec,dem,demcan,dvote,rep,repcan,rvote,ind,indcan,ivote,cons,concan,cvote,wfp,wfpcan,wfpvote,swp,swpcan,swpvote,soc,soccan,socvote,green,greencan,grnvote,liber,libcan,libvote,pop,popcan,popvote
2008G,1,4,NY,22011,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    11th,390,11,1,0,17,0,0,1,Democratic,Barack Obama / Joe Biden,282,Republican,John McCain / Sarah Palin,119,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22012,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    12th,41,4,0,0,6,0,0,1,Democratic,Barack Obama / Joe Biden,40,Republican,John McCain / Sarah Palin,8,Independence,John McCain / Sarah Palin,0,Conservative,John McCain / Sarah Palin,0,Working Families,Barack Obama / Joe Biden,1,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22013,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    13th,459,7,1,0,11,0,0,9,Democratic,Barack Obama / Joe Biden,417,Republican,John McCain / Sarah Palin,36,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,9,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22014,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    14th,290,6,0,0,10,0,0,10,Democratic,Barack Obama / Joe Biden,236,Republican,John McCain / Sarah Palin,40,Independence,John McCain / Sarah Palin,1,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,13,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,5,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22015,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    15th,378,9,2,0,9,0,0,10,Democratic,Barack Obama / Joe Biden,296,Republican,John McCain / Sarah Palin,78,Independence,John McCain / Sarah Palin,1,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22016,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    16th,244,5,0,0,7,0,0,2,Democratic,Barack Obama / Joe Biden,168,Republican,John McCain / Sarah Palin,70,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,4
2008G,1,4,NY,22017,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    17th,292,5,3,0,14,0,0,8,Democratic,Barack Obama / Joe Biden,241,Republican,John McCain / Sarah Palin,56,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22018,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    18th,443,6,8,0,16,0,0,16,Democratic,Barack Obama / Joe Biden,266,Republican,John McCain / Sarah Palin,173,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,22019,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    19th,398,5,7,0,15,0,0,7,Democratic,Barack Obama / Joe Biden,317,Republican,John McCain / Sarah Palin,85,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22020,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    20th,402,8,5,0,11,0,0,15,Democratic,Barack Obama / Joe Biden,300,Republican,John McCain / Sarah Palin,92,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,3
2008G,1,4,NY,22021,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    21st,360,13,2,0,4,0,0,15,Democratic,Barack Obama / Joe Biden,231,Republican,John McCain / Sarah Palin,117,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22022,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    22nd,514,8,1,0,27,0,0,8,Democratic,Barack Obama / Joe Biden,431,Republican,John McCain / Sarah Palin,103,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22023,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    23rd,450,12,6,0,13,0,0,12,Democratic,Barack Obama / Joe Biden,307,Republican,John McCain / Sarah Palin,140,Independence,John McCain / Sarah Palin,10,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22024,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    24th,517,18,0,0,16,0,0,15,Democratic,Barack Obama / Joe Biden,360,Republican,John McCain / Sarah Palin,143,Independence,John McCain / Sarah Palin,12,Conservative,John McCain / Sarah Palin,9,Working Families,Barack Obama / Joe Biden,10,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22025,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    25th,524,6,1,0,23,0,0,5,Democratic,Barack Obama / Joe Biden,480,Republican,John McCain / Sarah Palin,56,Independence,John McCain / Sarah Palin,3,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22026,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    26th,360,10,1,0,11,0,0,5,Democratic,Barack Obama / Joe Biden,230,Republican,John McCain / Sarah Palin,130,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,3,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22027,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    27th,434,12,1,0,32,0,0,15,Democratic,Barack Obama / Joe Biden,278,Republican,John McCain / Sarah Palin,165,Independence,John McCain / Sarah Palin,11,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22028,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    28th,457,4,4,0,57,0,0,48,Democratic,Barack Obama / Joe Biden,290,Republican,John McCain / Sarah Palin,155,Independence,John McCain / Sarah Palin,8,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,18,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22029,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    29th,413,6,0,0,18,0,0,0,Democratic,Barack Obama / Joe Biden,286,Republican,John McCain / Sarah Palin,133,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,18,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22030,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    30th,292,5,2,0,10,0,0,2,Democratic,Barack Obama / Joe Biden,210,Republican,John McCain / Sarah Palin,75,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,12,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22031,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    31st,370,49,5,0,14,0,0,20,Democratic,Barack Obama / Joe Biden,288,Republican,John McCain / Sarah Palin,99,Independence,John McCain / Sarah Palin,10,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,9,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,2,Populist,Ralph Nader / Matt Gonzal,4
2008G,1,4,NY,22032,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    32nd,387,12,1,0,15,0,0,7,Democratic,Barack Obama / Joe Biden,291,Republican,John McCain / Sarah Palin,109,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,2,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22033,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    33rd,495,9,3,0,22,0,0,9,Democratic,Barack Obama / Joe Biden,380,Republican,John McCain / Sarah Palin,123,Independence,John McCain / Sarah Palin,4,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,9,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22034,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    34th,319,1,1,0,15,0,0,3,Democratic,Barack Obama / Joe Biden,252,Republican,John McCain / Sarah Palin,68,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22035,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    35th,441,4,3,0,15,0,0,7,Democratic,Barack Obama / Joe Biden,295,Republican,John McCain / Sarah Palin,140,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,8,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,2,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22036,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    36th,425,16,5,0,30,0,0,12,Democratic,Barack Obama / Joe Biden,271,Republican,John McCain / Sarah Palin,164,Independence,John McCain / Sarah Palin,11,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,10,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,3,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22037,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    37th,131,0,0,0,1,0,0,1,Democratic,Barack Obama / Joe Biden,74,Republican,John McCain / Sarah Palin,51,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,1,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22038,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    38th,327,8,1,0,5,0,0,5,Democratic,Barack Obama / Joe Biden,200,Republican,John McCain / Sarah Palin,110,Independence,John McCain / Sarah Palin,13,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,10,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22039,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    39th,412,9,5,15,42,0,0,27,Democratic,Barack Obama / Joe Biden,248,Republican,John McCain / Sarah Palin,174,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,14,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,5
2008G,1,4,NY,22040,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    40th,421,13,3,0,21,0,0,8,Democratic,Barack Obama / Joe Biden,312,Republican,John McCain / Sarah Palin,121,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,5,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22041,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    41st,302,15,2,0,13,0,0,2,Democratic,Barack Obama / Joe Biden,186,Republican,John McCain / Sarah Palin,124,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,5,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,1,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,3,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22042,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    42nd,484,8,2,0,29,0,0,9,Democratic,Barack Obama / Joe Biden,336,Republican,John McCain / Sarah Palin,151,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,12,Working Families,Barack Obama / Joe Biden,6,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22043,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    43rd,373,6,0,0,16,0,0,14,Democratic,Barack Obama / Joe Biden,215,Republican,John McCain / Sarah Palin,153,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,4,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,1,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22044,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    44th,324,7,0,0,9,0,0,2,Democratic,Barack Obama / Joe Biden,203,Republican,John McCain / Sarah Palin,111,Independence,John McCain / Sarah Palin,7,Conservative,John McCain / Sarah Palin,8,Working Families,Barack Obama / Joe Biden,7,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,2
2008G,1,4,NY,22045,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    45th,404,7,2,0,17,0,0,15,Democratic,Barack Obama / Joe Biden,282,Republican,John McCain / Sarah Palin,126,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,3,Working Families,Barack Obama / Joe Biden,2,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,0
2008G,1,4,NY,22046,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    46th,400,10,1,0,15,0,0,10,Democratic,Barack Obama / Joe Biden,260,Republican,John McCain / Sarah Palin,130,Independence,John McCain / Sarah Palin,9,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,10,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,1,Green,Cynthia McKinney / Rosa C,1,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22047,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    47th,406,8,2,0,13,0,0,7,Democratic,Barack Obama / Joe Biden,281,Republican,John McCain / Sarah Palin,134,Independence,John McCain / Sarah Palin,2,Conservative,John McCain / Sarah Palin,1,Working Families,Barack Obama / Joe Biden,3,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,0,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
2008G,1,4,NY,22048,General Election 2008 - 11,President/Vice President,Queens,N,10,1,    48th,227,20,0,0,5,0,0,3,Democratic,Barack Obama / Joe Biden,163,Republican,John McCain / Sarah Palin,54,Independence,John McCain / Sarah Palin,5,Conservative,John McCain / Sarah Palin,4,Working Families,Barack Obama / Joe Biden,20,Socialist Workers,Roger Calero / Alyson Ken,0,Socialism & Liberation,Gloria La Riva / Eugene P,2,Green,Cynthia McKinney / Rosa C,0,Libertarian,Bob Barr / Wayne A Root,0,Populist,Ralph Nader / Matt Gonzal,1
