ElectionID,OfficeCode,BoroughCode,PoliticalDistrict,AD,ED,ElectionName,OfficeTitle,BoroName,EDused,NumofCandidates,VoteforNum,DistFormatted,PubCounter,AbsenteeMil,Federal,Emergency,Affidavit,TotForOffice,Scattered,Unrecorded,PartyName1,CandName1,CandVotes1,PartyName2,CandName2,CandVotes2,PartyName3,CandName3,CandVotes3,PartyName4,CandName4,CandVotes4,PartyName5,CandName5,CandVotes5,PartyName6,CandName6,CandVotes6,PartyName7,CandName7,CandVotes7,PartyName8,CandName8,CandVotes8,TotVotes,ADED2012
2012G,1,4,NY,23,11,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    11th,207,37,1,0,202,438,1,9,Democratic,Barack Obama / Joe Biden,224,Republican,Mitt Romney / Paul Ryan,180,Conservative,Mitt Romney / Paul Ryan,28,Working Families,Barack Obama / Joe Biden,2,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,1,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,437,23011
2012G,1,4,NY,23,12,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    12th,138,30,3,0,124,289,0,6,Democratic,Barack Obama / Joe Biden,212,Republican,Mitt Romney / Paul Ryan,61,Conservative,Mitt Romney / Paul Ryan,9,Working Families,Barack Obama / Joe Biden,3,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,1,289,23012
2012G,1,4,NY,23,13,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    13th,174,19,0,0,156,339,0,10,Democratic,Barack Obama / Joe Biden,210,Republican,Mitt Romney / Paul Ryan,96,Conservative,Mitt Romney / Paul Ryan,20,Working Families,Barack Obama / Joe Biden,8,Green,Jill Stein / Cheri Honkal,4,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,339,23013
2012G,1,4,NY,23,14,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    14th,234,32,1,0,263,523,3,7,Democratic,Barack Obama / Joe Biden,319,Republican,Mitt Romney / Paul Ryan,171,Conservative,Mitt Romney / Paul Ryan,21,Working Families,Barack Obama / Joe Biden,6,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,1,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,520,23014
2012G,1,4,NY,23,15,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    15th,213,15,3,0,274,493,2,12,Democratic,Barack Obama / Joe Biden,367,Republican,Mitt Romney / Paul Ryan,96,Conservative,Mitt Romney / Paul Ryan,12,Working Families,Barack Obama / Joe Biden,11,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,3,Constitution,Virgil Goode / Jim Clymer,0,491,23015
2012G,1,4,NY,23,16,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    16th,215,12,2,0,252,466,2,15,Democratic,Barack Obama / Joe Biden,353,Republican,Mitt Romney / Paul Ryan,91,Conservative,Mitt Romney / Paul Ryan,8,Working Families,Barack Obama / Joe Biden,7,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,3,Constitution,Virgil Goode / Jim Clymer,0,464,23016
2012G,1,4,NY,23,17,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    17th,90,10,0,0,149,243,0,6,Democratic,Barack Obama / Joe Biden,212,Republican,Mitt Romney / Paul Ryan,22,Conservative,Mitt Romney / Paul Ryan,5,Working Families,Barack Obama / Joe Biden,3,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,243,23017
2012G,1,4,NY,23,18,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    18th,211,21,0,0,195,424,0,3,Democratic,Barack Obama / Joe Biden,392,Republican,Mitt Romney / Paul Ryan,18,Conservative,Mitt Romney / Paul Ryan,5,Working Families,Barack Obama / Joe Biden,9,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,424,23018
2012G,1,4,NY,23,19,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    19th,280,18,4,0,232,526,0,8,Democratic,Barack Obama / Joe Biden,443,Republican,Mitt Romney / Paul Ryan,60,Conservative,Mitt Romney / Paul Ryan,12,Working Families,Barack Obama / Joe Biden,6,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,4,Constitution,Virgil Goode / Jim Clymer,0,526,23019
2012G,1,4,NY,23,20,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    20th,0,0,0,0,1,1,0,0,Democratic,Barack Obama / Joe Biden,1,Republican,Mitt Romney / Paul Ryan,0,Conservative,Mitt Romney / Paul Ryan,0,Working Families,Barack Obama / Joe Biden,0,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,1,23020
2012G,1,4,NY,23,21,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    21st,63,7,2,0,102,172,0,2,Democratic,Barack Obama / Joe Biden,137,Republican,Mitt Romney / Paul Ryan,23,Conservative,Mitt Romney / Paul Ryan,1,Working Families,Barack Obama / Joe Biden,8,Green,Jill Stein / Cheri Honkal,3,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,172,23021
2012G,1,4,NY,23,22,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    22nd,0,0,0,0,4,4,0,0,Democratic,Barack Obama / Joe Biden,4,Republican,Mitt Romney / Paul Ryan,0,Conservative,Mitt Romney / Paul Ryan,0,Working Families,Barack Obama / Joe Biden,0,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,4,23022
2012G,1,4,NY,23,23,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    23rd,24,12,0,0,221,244,0,13,Democratic,Barack Obama / Joe Biden,124,Republican,Mitt Romney / Paul Ryan,111,Conservative,Mitt Romney / Paul Ryan,7,Working Families,Barack Obama / Joe Biden,1,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,244,23023
2012G,1,4,NY,23,24,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    24th,313,20,7,0,217,553,0,4,Democratic,Barack Obama / Joe Biden,421,Republican,Mitt Romney / Paul Ryan,73,Conservative,Mitt Romney / Paul Ryan,57,Working Families,Barack Obama / Joe Biden,1,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,553,23024
2012G,1,4,NY,23,25,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    25th,322,58,36,0,202,612,2,6,Democratic,Barack Obama / Joe Biden,316,Republican,Mitt Romney / Paul Ryan,250,Conservative,Mitt Romney / Paul Ryan,35,Working Families,Barack Obama / Joe Biden,7,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,1,610,23025
2012G,1,4,NY,23,26,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    26th,217,27,10,0,209,457,3,6,Democratic,Barack Obama / Joe Biden,231,Republican,Mitt Romney / Paul Ryan,184,Conservative,Mitt Romney / Paul Ryan,29,Working Families,Barack Obama / Joe Biden,7,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,1,454,23026
2012G,1,4,NY,23,27,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    27th,381,17,86,0,169,649,6,4,Democratic,Barack Obama / Joe Biden,120,Republican,Mitt Romney / Paul Ryan,463,Conservative,Mitt Romney / Paul Ryan,59,Working Families,Barack Obama / Joe Biden,1,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,643,23027
2012G,1,4,NY,23,28,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    28th,409,59,70,0,156,688,7,6,Democratic,Barack Obama / Joe Biden,139,Republican,Mitt Romney / Paul Ryan,444,Conservative,Mitt Romney / Paul Ryan,94,Working Families,Barack Obama / Joe Biden,2,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,0,681,23028
2012G,1,4,NY,23,29,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    29th,402,55,11,0,180,633,1,15,Democratic,Barack Obama / Joe Biden,474,Republican,Mitt Romney / Paul Ryan,136,Conservative,Mitt Romney / Paul Ryan,18,Working Families,Barack Obama / Joe Biden,1,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,0,632,23029
2012G,1,4,NY,23,30,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    30th,406,51,13,0,189,653,1,6,Democratic,Barack Obama / Joe Biden,565,Republican,Mitt Romney / Paul Ryan,71,Conservative,Mitt Romney / Paul Ryan,11,Working Families,Barack Obama / Joe Biden,5,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,652,23030
2012G,1,4,NY,23,31,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    31st,318,48,6,0,154,518,0,8,Democratic,Barack Obama / Joe Biden,436,Republican,Mitt Romney / Paul Ryan,66,Conservative,Mitt Romney / Paul Ryan,10,Working Families,Barack Obama / Joe Biden,4,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,518,23031
2012G,1,4,NY,23,32,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    32nd,369,40,1,0,313,718,1,5,Democratic,Barack Obama / Joe Biden,692,Republican,Mitt Romney / Paul Ryan,20,Conservative,Mitt Romney / Paul Ryan,0,Working Families,Barack Obama / Joe Biden,3,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,1,717,23032
2012G,1,4,NY,23,33,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    33rd,200,13,1,0,452,659,1,7,Democratic,Barack Obama / Joe Biden,637,Republican,Mitt Romney / Paul Ryan,8,Conservative,Mitt Romney / Paul Ryan,3,Working Families,Barack Obama / Joe Biden,8,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,0,658,23033
2012G,1,4,NY,23,34,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    34th,150,8,2,0,221,379,0,2,Democratic,Barack Obama / Joe Biden,352,Republican,Mitt Romney / Paul Ryan,24,Conservative,Mitt Romney / Paul Ryan,2,Working Families,Barack Obama / Joe Biden,1,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,379,23034
2012G,1,4,NY,23,35,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    35th,380,17,21,0,237,647,1,8,Democratic,Barack Obama / Joe Biden,496,Republican,Mitt Romney / Paul Ryan,133,Conservative,Mitt Romney / Paul Ryan,12,Working Families,Barack Obama / Joe Biden,1,Green,Jill Stein / Cheri Honkal,3,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,646,23035
2012G,1,4,NY,23,36,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    36th,335,7,23,0,111,473,0,3,Democratic,Barack Obama / Joe Biden,284,Republican,Mitt Romney / Paul Ryan,160,Conservative,Mitt Romney / Paul Ryan,22,Working Families,Barack Obama / Joe Biden,4,Green,Jill Stein / Cheri Honkal,3,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,473,23036
2012G,1,4,NY,23,37,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    37th,277,11,10,0,85,377,0,6,Democratic,Barack Obama / Joe Biden,283,Republican,Mitt Romney / Paul Ryan,76,Conservative,Mitt Romney / Paul Ryan,8,Working Families,Barack Obama / Joe Biden,9,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,377,23037
2012G,1,4,NY,23,38,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    38th,0,11,0,0,33,44,0,0,Democratic,Barack Obama / Joe Biden,35,Republican,Mitt Romney / Paul Ryan,8,Conservative,Mitt Romney / Paul Ryan,1,Working Families,Barack Obama / Joe Biden,0,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,44,23038
2012G,1,4,NY,23,39,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    39th,0,0,0,0,0,0,0,0,Democratic,Barack Obama / Joe Biden,0,Republican,Mitt Romney / Paul Ryan,0,Conservative,Mitt Romney / Paul Ryan,0,Working Families,Barack Obama / Joe Biden,0,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,0,23039
2012G,1,4,NY,23,40,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    40th,303,11,2,0,84,395,0,5,Democratic,Barack Obama / Joe Biden,147,Republican,Mitt Romney / Paul Ryan,203,Conservative,Mitt Romney / Paul Ryan,24,Working Families,Barack Obama / Joe Biden,14,Green,Jill Stein / Cheri Honkal,3,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,4,Constitution,Virgil Goode / Jim Clymer,0,395,23040
2012G,1,4,NY,23,41,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    41st,227,9,1,0,69,306,1,0,Democratic,Barack Obama / Joe Biden,127,Republican,Mitt Romney / Paul Ryan,139,Conservative,Mitt Romney / Paul Ryan,23,Working Families,Barack Obama / Joe Biden,13,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,1,305,23041
2012G,1,4,NY,23,42,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    42nd,18,0,0,0,0,18,0,0,Democratic,Barack Obama / Joe Biden,4,Republican,Mitt Romney / Paul Ryan,12,Conservative,Mitt Romney / Paul Ryan,2,Working Families,Barack Obama / Joe Biden,0,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,18,23042
2012G,1,4,NY,23,43,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    43rd,0,0,0,0,0,0,0,0,Democratic,Barack Obama / Joe Biden,0,Republican,Mitt Romney / Paul Ryan,0,Conservative,Mitt Romney / Paul Ryan,0,Working Families,Barack Obama / Joe Biden,0,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,0,23043
2012G,1,4,NY,23,44,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    44th,364,28,0,0,100,488,0,4,Democratic,Barack Obama / Joe Biden,159,Republican,Mitt Romney / Paul Ryan,291,Conservative,Mitt Romney / Paul Ryan,29,Working Families,Barack Obama / Joe Biden,7,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,488,23044
2012G,1,4,NY,23,45,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    45th,285,25,1,0,108,417,0,2,Democratic,Barack Obama / Joe Biden,153,Republican,Mitt Romney / Paul Ryan,243,Conservative,Mitt Romney / Paul Ryan,18,Working Families,Barack Obama / Joe Biden,2,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,1,417,23045
2012G,1,4,NY,23,46,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    46th,391,21,5,0,108,522,0,3,Democratic,Barack Obama / Joe Biden,159,Republican,Mitt Romney / Paul Ryan,325,Conservative,Mitt Romney / Paul Ryan,33,Working Families,Barack Obama / Joe Biden,4,Green,Jill Stein / Cheri Honkal,1,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,522,23046
2012G,1,4,NY,23,47,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    47th,201,8,0,0,55,263,0,1,Democratic,Barack Obama / Joe Biden,113,Republican,Mitt Romney / Paul Ryan,131,Conservative,Mitt Romney / Paul Ryan,16,Working Families,Barack Obama / Joe Biden,2,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,263,23047
2012G,1,4,NY,23,48,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    48th,198,9,2,0,61,268,1,2,Democratic,Barack Obama / Joe Biden,122,Republican,Mitt Romney / Paul Ryan,128,Conservative,Mitt Romney / Paul Ryan,13,Working Families,Barack Obama / Joe Biden,3,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,267,23048
2012G,1,4,NY,23,49,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    49th,301,26,1,0,109,435,1,2,Democratic,Barack Obama / Joe Biden,150,Republican,Mitt Romney / Paul Ryan,253,Conservative,Mitt Romney / Paul Ryan,25,Working Families,Barack Obama / Joe Biden,5,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,1,434,23049
2012G,1,4,NY,23,50,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    50th,330,7,1,0,112,446,0,4,Democratic,Barack Obama / Joe Biden,202,Republican,Mitt Romney / Paul Ryan,216,Conservative,Mitt Romney / Paul Ryan,16,Working Families,Barack Obama / Joe Biden,8,Green,Jill Stein / Cheri Honkal,3,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,1,Constitution,Virgil Goode / Jim Clymer,0,446,23050
2012G,1,4,NY,23,51,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    51st,316,17,0,0,102,427,0,8,Democratic,Barack Obama / Joe Biden,148,Republican,Mitt Romney / Paul Ryan,237,Conservative,Mitt Romney / Paul Ryan,36,Working Families,Barack Obama / Joe Biden,4,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,2,Constitution,Virgil Goode / Jim Clymer,0,427,23051
2012G,1,4,NY,23,52,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    52nd,238,10,3,0,70,317,0,4,Democratic,Barack Obama / Joe Biden,141,Republican,Mitt Romney / Paul Ryan,157,Conservative,Mitt Romney / Paul Ryan,11,Working Families,Barack Obama / Joe Biden,6,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,0,Constitution,Virgil Goode / Jim Clymer,0,317,23052
2012G,1,4,NY,23,53,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    53rd,488,15,1,0,93,592,2,5,Democratic,Barack Obama / Joe Biden,401,Republican,Mitt Romney / Paul Ryan,155,Conservative,Mitt Romney / Paul Ryan,15,Working Families,Barack Obama / Joe Biden,15,Green,Jill Stein / Cheri Honkal,0,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,4,Constitution,Virgil Goode / Jim Clymer,0,590,23053
2012G,1,4,NY,23,54,General Election - 11/06/2,President/Vice President,Queens,Y,8,1,    54th,527,17,4,0,65,605,1,8,Democratic,Barack Obama / Joe Biden,373,Republican,Mitt Romney / Paul Ryan,196,Conservative,Mitt Romney / Paul Ryan,13,Working Families,Barack Obama / Joe Biden,17,Green,Jill Stein / Cheri Honkal,2,Socialism & Lib,Peta Lindsay / Yari Osori,0,Libertarian,Gary Johnson / James P. G,3,Constitution,Virgil Goode / Jim Clymer,0,604,23054
